"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","week","pointsDiff"
"106","Georgia State","Rhode Island",67,81.9677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,-1200,55.5,1,7
"107","Alcorn State","Southern Mississippi",-123,-81.9677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1300,46.5,1,-26
"108","Southern Mississippi","Alcorn State",123,81.9677419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,-5000,46.5,1,26
"109","Sacred Heart","Lafayette",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5,-270,41.5,1,-5
"110","Lafayette","Sacred Heart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,220,41.5,1,5
"111","Jackson State","Florida A&M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.5,-185,49,1,-18
"112","Florida A&M","Jackson State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,160,49,1,18
"113","Southern","Alabama State",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-240,42.5,1,-4
"114","Alabama State","Southern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,200,42.5,1,4
"115","Sam Houston State","BYU",-38,50.9088766692851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,950,51,1,-14
"116","BYU","Sam Houston State",38,-50.9088766692851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-2000,51,1,14
"117","UT San Antonio","Houston",-10,45.6956741715153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-120,59.5,1,-3
"118","Houston","UT San Antonio",10,-45.6956741715153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,100,59.5,1,3
"119","New Mexico State","Western Illinois",100,97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,-1200,53,1,37
"120","Western Illinois","New Mexico State",-100,-97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,700,53,1,-37
"121","East Tennessee State","Jacksonville State",0,-97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,460,54.5,1,-46
"122","Jacksonville State","East Tennessee State",0,97.7894736842105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.5,-675,54.5,1,46
"123","NC State","Notre Dame",27,-45.9928926794599,1,18,-80,-4.1,-5,0,-0.146,1,18,-80,-4.1,-5,0,-0.146153846153846,7.5,270,50.5,2,-21
