"","school","opponent","cbsRankDiff","cbsConfRankDiff","rushTdsAvgLagDiff","rushingYardsAvgLagDiff","totalYardsAvgLagDiff","yardsPerPassAvgLagDiff","penaltyYardsAvgLagDiff","turnoversAvgLagDiff","completionPercentAvgLagDiff","rushTdsLagDiff","rushingYardsLagDiff","totalYardsLagDiff","yardsPerPassLagDiff","penaltyYardsLagDiff","turnoversLagDiff","completionPercentLagDiff","spreadOpen","moneyline","overUnderOpen","pointsDiff"
"869","Middle Tennessee","Louisiana Tech",-18,0,0.167,-9.047,-40.143,-0.731000000000001,-6.047,-0.69,0.036,-4,-71,-62,3.4,-2,1,0.0777777777777781,-2.5,-130,64,-16
"870","Louisiana Tech","Middle Tennessee",18,0,-0.167,9.047,40.143,0.731000000000001,6.047,0.69,-0.036,4,71,62,-3.4,2,-1,-0.0777777777777781,2.5,110,64,16
"871","Rice","UTEP",-2,0,0.75,-15.167,-5.70800000000003,-0.245,-5.333,0.0419999999999998,0,0,51,78,1.1,-19,0,-0.025974025974026,-3.5,-175,48,7
"872","UTEP","Rice",2,0,-0.75,15.167,5.70800000000003,0.245,5.333,-0.0419999999999998,0,0,-51,-78,-1.1,19,0,0.025974025974026,3.5,150,48,-7
"873","UCLA","Arizona State",-46,0,0.715,108.285,129.571,0.657,-24.285,-0.286,0.075,2,202,-34,-3.2,-29,0,-0.123496391339214,-10.5,-400,62,14
"874","Arizona State","UCLA",46,0,-0.715,-108.285,-129.571,-0.657,24.285,0.286,-0.075,-2,-202,34,3.2,29,0,0.123496391339214,10.5,300,62,-14
"875","Utah","Arizona",-50,0,1.286,50.143,-50.857,-0.414,-6.714,-0.714,0.055,1,6,-199,-2.3,-11,0,0.024978466838932,-17,-1000,67.5,25
"876","Arizona","Utah",50,0,-1.286,-50.143,50.857,0.414,6.714,0.714,-0.055,-1,-6,199,2.3,11,0,-0.024978466838932,17,625,67.5,-25
"877","USC","California",-55,0,0.958,69.417,132.333,1.829,21.417,-0.583,0.032,1,136,219,1.6,21,-2,0.052525252525253,-19.5,-1800,58,6
"878","California","USC",55,0,-0.958,-69.417,-132.333,-1.829,-21.417,0.583,-0.032,-1,-136,-219,-1.6,-21,2,-0.052525252525253,19.5,850,58,-6
"879","Washington","Oregon State",-8,0,-0.286,-79.714,83.2859999999999,0.171000000000001,-4.857,-1.286,0.0850000000000001,-2,-168,4,-1.9,-22,-1,0.0695187165775409,-4.5,-200,60.5,3
"880","Oregon State","Washington",8,0,0.286,79.714,-83.2859999999999,-0.171000000000001,4.857,1.286,-0.0850000000000001,2,168,-4,1.9,22,1,-0.0695187165775409,4.5,170,60.5,-3
"881","Old Dominion","Marshall",41,0,-0.5,-46.583,8.875,1.238,15.667,-0.708,-0.028,-1,-71,-134,-1,-49,0,0.045310015898252,2.5,115,46,-12
"882","Marshall","Old Dominion",-41,0,0.5,46.583,-8.875,-1.238,-15.667,0.708,0.028,1,71,134,1,49,0,-0.045310015898252,-2.5,-135,46,12
"883","UT San Antonio","UAB",-74,0,0.19,-76.547,57.953,-0.343,1.643,-0.404,0.0890000000000001,1,-23,23,0.4,-12,1,0.145588235294118,-1,-125,52,6
"884","UAB","UT San Antonio",74,0,-0.19,76.547,-57.953,0.343,-1.643,0.404,-0.0890000000000001,-1,23,-23,-0.4,12,-1,-0.145588235294118,1,105,52,-6
"885","South Alabama","Georgia Southern",-37,0,-0.125,-11.179,-68.982,1.096,25.179,-0.839,0.043,0,-40,-53,0.4,10,0,-0.106481481481482,-5,-200,60,7
"886","Georgia Southern","South Alabama",37,0,0.125,11.179,68.982,-1.096,-25.179,0.839,-0.043,0,40,53,-0.4,-10,0,0.106481481481482,5,170,60,-7
"887","Appalachian State","Coastal Carolina",13,0,0.31,-0.475999999999999,-9.61900000000003,-1.99,8.81,0,-0.0590000000000001,4,254,195,-1.4,-5,1,-0.129901960784314,-2,-160,61,-7
"888","Coastal Carolina","Appalachian State",-13,0,-0.31,0.475999999999999,9.61900000000003,1.99,-8.81,0,0.0590000000000001,-4,-254,-195,1.4,5,-1,0.129901960784314,2,135,61,7
"889","Southern Mississippi","Georgia State",-6,0,-0.875,-97.458,-109.208,-0.383000000000001,0.542000000000002,0.792,-0.0089999999999999,-2,-73,-79,0.699999999999999,20,1,-0.2,-2.5,-135,50.5,-28
"890","Georgia State","Southern Mississippi",6,0,0.875,97.458,109.208,0.383000000000001,-0.542000000000002,-0.792,0.0089999999999999,2,73,79,-0.699999999999999,-20,-1,0.2,2.5,115,50.5,28
"891","Troy","Louisiana",-39,0,0.518,-28.536,-3.64299999999997,2.186,-23.768,0.071,0.0870000000000001,0,25,-173,0,-20,-3,0.280320366132723,-4,-180,43,6
"892","Louisiana","Troy",39,0,-0.518,28.536,3.64299999999997,-2.186,23.768,-0.071,-0.0870000000000001,0,-25,173,0,20,3,-0.280320366132723,4,155,43,-6
"893","Louisiana Monroe","Texas State",10,0,0.733,79.7,76.5,2.13,-5.633,-0.6,0.095,1,191,106,0.100000000000001,-4,0,0.145348837209302,0,0,52,1
"894","Texas State","Louisiana Monroe",-10,0,-0.733,-79.7,-76.5,-2.13,5.633,0.6,-0.095,-1,-191,-106,-0.100000000000001,4,0,-0.145348837209302,0,-120,52,-1
